Date,Open,High,Low,Close,Volume,DailyChanges
2022-04-26,162.25,162.34,156.72,156.8,95623200,-0.03359013867488436
2022-04-27,155.91,159.79,155.38,156.57,88063100,0.004233211468154696
2022-04-28,159.25,164.515,158.93,163.64,130216800,0.027566718995290396
2022-04-29,161.84,166.2,157.25,157.65,131747500,-0.025889767671774533
2022-05-02,156.71,158.23,153.27,157.96,123055200,0.007976517133558847
2022-05-03,158.15,160.71,156.32,159.48,88966500,0.008409737590894695
2022-05-04,159.67,166.48,159.26,166.02,108256500,0.0397695246445795
2022-05-05,163.85,164.08,154.95,156.77,130525200,-0.04321025328043937
2022-05-06,156.01,159.44,154.18,157.28,116124600,0.008140503813858224
2022-05-09,154.93,155.83,151.49,152.06,131577900,-0.018524494933195634
2022-05-10,155.52,156.74,152.93,154.51,115366700,-0.0064943415637861435
2022-05-11,153.5,155.45,145.81,146.5,142689800,-0.0456026058631922
2022-05-12,142.77,146.2,138.8,142.56,182602000,-0.001470897247320968
2022-05-13,144.59,148.105,143.11,147.11,113990800,0.01742859118887896
2022-05-16,145.55,147.5199,144.18,145.54,86643700,-6.870491240140719e-05
2022-05-17,148.86,149.77,146.68,149.24,78336200,0.00255273411258905
2022-05-18,146.85,147.3601,139.9,140.82,109742800,-0.04106230847803882
2022-05-19,139.88,141.66,136.6,137.35,136095600,-0.018086931655704852
2022-05-20,139.09,140.7,132.61,137.59,137426100,-0.010784384211661502
2022-05-23,137.79,143.26,137.65,143.11,117726200,0.038609478191451
2022-05-24,140.8,141.97,137.33,140.36,104132700,-0.0031249999999999334
2022-05-25,138.43,141.785,138.34,140.52,92482600,0.015097883406776091
2022-05-26,137.39,144.34,137.14,143.78,90601500,0.046509935220904186
2022-05-27,145.39,149.68,145.26,149.64,90978500,0.029231721576449488
2022-05-31,149.07,150.66,146.84,148.84,103718400,-0.0015428993090493837
2022-06-01,149.9,151.74,147.68,148.71,74286600,-0.007938625750500306
2022-06-02,147.83,151.27,146.86,151.21,72348000,0.02286410065615896
2022-06-03,146.9,147.97,144.46,145.38,88570200,-0.010347174948944882
2022-06-06,147.03,148.5689,144.9,146.14,71598300,-0.006053186424539336
2022-06-07,144.35,149.0,144.1,148.71,67808100,0.03020436439210261
2022-06-08,148.58,149.8697,147.46,147.96,53950200,-0.00417283618252795
2022-06-09,147.08,147.95,142.53,142.64,69472900,-0.030187652977971324
2022-06-10,140.28,140.76,137.06,137.13,91566600,-0.022455089820359375
2022-06-13,132.87,135.2,131.44,131.88,122207100,-0.007450891849175911
2022-06-14,133.13,133.89,131.48,132.76,84784300,-0.002779238338466161
2022-06-15,134.29,137.34,132.16,135.43,91532900,0.008489090773698749
2022-06-16,132.08,132.39,129.04,130.06,107961500,-0.015293761356753532
2022-06-17,130.065,133.079,129.81,131.56,134520200,0.011494252873563315
2022-06-21,133.42,137.06,133.32,135.87,81000400,0.018363064008394714
2022-06-22,134.79,137.76,133.91,135.35,73409200,0.0041546108761778555
2022-06-23,136.82,138.59,135.63,138.27,72433700,0.010597865809092388
2022-06-24,139.9,141.91,139.77,141.66,89116800,0.012580414581844002
2022-06-27,142.695,143.49,140.965,141.66,70207900,-0.007253232418795275
2022-06-28,142.13,143.422,137.325,137.44,67315300,-0.03299795961443752
2022-06-29,137.46,140.67,136.67,139.23,66242400,0.012876473155827073
2022-06-30,137.25,138.37,133.7737,136.72,98964400,-0.003861566484517298
2022-07-01,136.04,139.04,135.66,138.93,71051500,0.02124375183769489
2022-07-05,137.77,141.61,136.93,141.56,73429600,0.027509617478405968
2022-07-06,141.355,144.12,141.08,142.92,74064200,0.011071415938594287
2022-07-07,143.29,146.55,143.28,146.35,66253700,0.021355293460813662
2022-07-08,145.26,147.55,145.0,147.04,64547800,0.012253889577309662
2022-07-11,145.67,146.64,143.78,144.87,63305100,-0.005491865174709898
2022-07-12,145.76,148.45,145.05,145.86,77588700,0.0006860592755215666
2022-07-13,142.99,146.45,142.1201,145.49,71185500,0.01748374012168674
2022-07-14,144.08,148.95,143.25,148.47,78140700,0.03046918378678498
2022-07-15,149.78,150.86,148.2,150.17,76259900,0.0026038189344370632
2022-07-18,150.74,151.57,146.7,147.07,81420800,-0.024346556985538115
2022-07-19,147.92,151.23,146.91,151.0,82982300,0.020822065981611848
2022-07-20,151.12,153.72,150.37,153.04,64823400,0.012705134992059275
2022-07-21,154.5,155.57,151.94,155.35,65086600,0.005501618122977225
2022-07-22,155.39,156.28,153.41,154.09,66675400,-0.008366046721153153
2022-07-25,154.01,155.04,152.28,152.95,53623900,-0.0068826699564963345
2022-07-26,152.26,153.085,150.8,151.6,55138600,-0.004334690660711904
2022-07-27,152.58,154.8,152.16,154.2015,29458891,0.010627211954384652
